Task ID,Task Description
1,Paint intricate details on 100 wooden toys.
2,Act as a tour guide for visitors to Christmas Village.
3,Move heavy boxes of toys to the sleigh loading area.
4,Fix the glitchy conveyor belt in the toy assembly line.
5,Host storytime sessions for children visiting Christmas Village.
6,Carve and assemble 100 custom wooden trains.
7,Prepare and decorate 200 holiday cookies for Santa's snack station.
8,Rehearse and direct a dramatic holiday performance for Christmas Village.
9,Design and sew 100 elf uniforms for the holiday season.
10,"Groom and care for Santa's reindeer, ensuring they're ready for the big night."
